wpcf-a570,wpcf-a195,wpcf-a572,post_type,lng,id,post_author,wpcf-a175,wpcf-a174,wpcf-a177,wpcf-a176,ibge,wpcf-a173,wpcf-a172,post_status,wpcf-a179,wpcf-a178,wpcf-a188,wpcf-a180,wpcf-a181,wpcf-a182,wpcf-a183,wpcf-a184,wpcf-a185,wpcf-a186,wpcf-a187,lat,wpcf-a569,comment_status,wpcf-a167,wpcf-a164,post_title,wpcf-a489,wpcf-a168,wpcf-a169
Rebouças,Não,14216,municipio,-50.6812544333183,,412150,Sim,Sim,Sim,Sim,412150,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-25.6263927557656,PR,open,Sim,Integrado ao sistema estadual de ensino,Rebouças - PR,Não,Sim,Sim
Renascença,Não,6801,municipio,-52.9721620116988,,412160,Sim,Sim,Não,Sim,412160,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-26.1562209295429,PR,open,Não,Integrado ao sistema estadual de ensino,Renascença - PR,Não,Sim,Sim
Reserva,Não,25264,municipio,-50.8505958054306,,412170,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412170,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-24.651648,PR,open,Não,Integrado ao sistema estadual de ensino,Reserva - PR,Não,Sim,Sim
Reserva do Iguaçu,Não,7356,municipio,-52.0287624631417,,412175,Sim,Sim,Não,Sim,412175,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-25.8309580360474,PR,open,Sim,Integrado ao sistema estadual de ensino,Reserva do Iguaçu - PR,Não,Não,Não
Ribeirão Claro,Não,10661,municipio,-49.7563505190838,,412180,Sim,Sim,Não,Sim,412180,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-23.1962854621858,PR,open,Não,Integrado ao sistema estadual de ensino,Ribeirão Claro - PR,Sim,Sim,Sim
Ribeirão do Pinhal,Não,13462,municipio,-50.3580609524608,,412190,Sim,Sim,Não,Sim,412190,Sim,Sim,publish,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,-23.4082575022835,PR,open,Sim,Integrado ao sistema estadual de ensino,Ribeirão do Pinhal - PR,Não,Sim,Sim
Rio Azul,Não,14176,municipio,-50.7871729819706,,412200,Sim,Sim,Sim,Sim,412200,Sim,Sim,publish,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,-25.7161131774978,PR,open,Sim,Integrado ao sistema estadual de ensino,Rio Azul - PR,Não,Não,Não
Rio Bom,Não,3318,municipio,-51.4153647878351,,412210,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412210,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-23.7620982802826,PR,open,Não,Integrado ao sistema estadual de ensino,Rio Bom - PR,Não,Não,Não
Rio Bonito do Iguaçu,Não,13652,municipio,-52.5268897829594,,412215,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412215,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-25.4869088092077,PR,open,Sim,Integrado ao sistema estadual de ensino,Rio Bonito do Iguaçu - PR,Não,Não,Não
Rio Branco do Ivaí,Não,3909,municipio,-51.3120655882648,,412217,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412217,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-24.3202776012942,PR,open,Sim,Integrado ao sistema estadual de ensino,Rio Branco do Ivaí - PR,Não,Não,Não
Rio Branco do Sul,Não,30751,municipio,-49.3167138827683,,412220,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412220,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-25.1901653515541,PR,open,Sim,Integrado ao sistema estadual de ensino,Rio Branco do Sul - PR,Não,Sim,Sim
Rio Negro,Não,31471,municipio,-49.7976853768382,,412230,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412230,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-26.10040797,PR,open,Sim,Integrado ao sistema estadual de ensino,Rio Negro - PR,Sim,Sim,Sim
Rolândia,Não,58511,municipio,-51.3627803563626,,412240,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412240,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-23.313592485,PR,open,Sim,Integrado ao sistema estadual de ensino,Rolândia - PR,Não,Sim,Sim
Roncador,Não,11377,municipio,-52.2760525503737,,412250,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412250,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-24.5951071879967,PR,open,Não,Integrado ao sistema estadual de ensino,Roncador - PR,Não,Sim,Sim
Rondon,Não,9025,municipio,-52.7624923118905,,412260,Sim,Sim,Sim,Sim,412260,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-23.4126599793783,PR,open,Não,Integrado ao sistema estadual de ensino,Rondon - PR,Não,Não,Não
Rosário do Ivaí,Não,5512,municipio,-51.2499448251477,,412265,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412265,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-24.2535525559056,PR,open,Sim,Integrado ao sistema estadual de ensino,Rosário do Ivaí - PR,Não,Sim,Sim
Sabáudia,Sim,6149,municipio,-51.5567020218746,,412270,Não,Sim,Não,Não,412270,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,-23.3183956216474,PR,open,Sim,Integrado ao sistema estadual de ensino,Sabáudia - PR,Não,Não,Não
Salgado Filho,Não,4327,municipio,-53.3621154225924,,412280,Sim,Sim,Não,Sim,412280,Sim,Sim,publish,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,-26.170460518652,PR,open,Não,Integrado ao sistema estadual de ensino,Salgado Filho - PR,Não,Não,Não
Salto do Itararé,Não,5150,municipio,-49.630750093362,,412290,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412290,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-23.6057567382242,PR,open,Não,Integrado ao sistema estadual de ensino,Salto do Itararé - PR,Não,Sim,Sim
Salto do Lontra,Não,13761,municipio,-53.314935101821,,412300,Sim,Sim,Sim,Sim,412300,Sim,Sim,publish,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-25.7767652429306,PR,open,Sim,Integrado ao sistema estadual de ensino,Salto do Lontra - PR,Não,Sim,Sim
Santa Amélia,Não,3757,municipio,-50.4234587703804,,412310,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412310,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-23.2681573189206,PR,open,Não,Integrado ao sistema estadual de ensino,Santa Amélia - PR,Não,Não,Não
Santa Cecília do Pavão,Não,3614,municipio,-50.7828651430903,,412320,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412320,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-23.5128957120937,PR,open,Não,Integrado ao sistema estadual de ensino,Santa Cecília do Pavão - PR,Sim,Sim,Sim
Santa Cruz de Monte Castelo,Não,8055,municipio,-53.2973064204957,,412330,Sim,Sim,Não,Não,412330,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-22.9585816078019,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Cruz de Monte Castelo - PR,Não,Não,Não
Santa Fé,Não,10552,municipio,-51.8063020531831,,412340,Sim,Sim,Não,Sim,412340,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-23.0361147581788,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Fé - PR,Não,Sim,Sim
Santa Helena,Não,23638,municipio,-54.3364531522835,,412350,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412350,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-24.8570958306367,PR,open,Não,Integrado ao sistema estadual de ensino,Santa Helena - PR,Não,Não,Não
Santa Inês,Sim,1797,municipio,-51.902768382784,,412360,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412360,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-22.6387065306372,PR,open,Não,Integrado ao sistema estadual de ensino,Santa Inês - PR,Não,Não,Não
Santa Isabel do Ivaí,Não,8730,municipio,-53.1959475093714,,412370,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412370,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Não,-23.001088809404,PR,open,Não,Integrado ao sistema estadual de ensino,Santa Isabel do Ivaí - PR,Não,Sim,Sim
Santa Izabel do Oeste,Não,13242,municipio,-53.4836175358081,,412380,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412380,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-25.8143812184215,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Izabel do Oeste - PR,Não,Sim,Sim
Santa Lúcia,Não,3910,municipio,-53.5711436726035,,412382,Sim,Sim,Sim,Sim,412382,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,-25.4113199197696,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Lúcia - PR,Não,Não,Não
Santa Maria do Oeste,Não,11336,municipio,-51.8677097950836,,412385,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412385,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-24.9341839968829,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Maria do Oeste - PR,Não,Sim,Sim
Santa Mariana,Não,12356,municipio,-50.5210713512026,,412390,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412390,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-23.1464274393077,PR,open,Não,Integrado ao sistema estadual de ensino,Santa Mariana - PR,Não,Não,Não
Santa Mônica,Sim,3601,municipio,-53.1112728730423,,412395,Não,Sim,Não,Não,412395,Sim,Sim,publish,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,-23.1054239387676,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Mônica - PR,Não,Sim,Não
Santana do Itararé,Não,5220,municipio,-49.6331966315173,,412400,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412400,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-23.7531325857099,PR,open,Não,Próprio,Santana do Itararé - PR,Não,Não,Sim
Santa Tereza do Oeste,Sim,10300,municipio,-53.6272357310511,,412402,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412402,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-25.058721900954,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Tereza do Oeste - PR,Não,Sim,Sim
Santa Terezinha de Itaipu,Não,21031,municipio,-54.3995187311272,,412405,Sim,Sim,Sim,Sim,412405,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,-25.4421605134166,PR,open,Sim,Integrado ao sistema estadual de ensino,Santa Terezinha de Itaipu - PR,Sim,Sim,Sim
Santo Antônio da Platina,Sim,42920,municipio,-50.0773459027438,,412410,Sim,Sim,Não,Sim,412410,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,-23.2970488330377,PR,open,Não,Integrado ao sistema estadual de ensino,Santo Antônio da Platina - PR,Não,Não,Não
Santo Antônio do Caiuá,Não,2716,municipio,-52.3446578437543,,412420,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412420,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-22.7339747691581,PR,open,Não,Integrado ao sistema estadual de ensino,Santo Antônio do Caiuá - PR,Não,Não,Sim
Santo Antônio do Paraíso,Não,2379,municipio,-50.6468281629708,,412430,Sim,Sim,Não,Sim,412430,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-23.4947194367769,PR,open,Não,Integrado ao sistema estadual de ensino,Santo Antônio do Paraíso - PR,Não,Sim,Sim
Santo Antônio do Sudoeste,Não,18972,municipio,-53.7230834338629,,412440,Sim,Sim,Sim,Sim,412440,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-26.0749754785585,PR,open,Não,Integrado ao sistema estadual de ensino,Santo Antônio do Sudoeste - PR,Não,Sim,Sim
Santo Inácio,Não,5276,municipio,-51.7952999014099,,412450,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412450,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-22.7000685756214,PR,open,Não,Integrado ao sistema estadual de ensino,Santo Inácio - PR,Sim,Não,Sim
São Carlos do Ivaí,Não,6389,municipio,-52.4771145893703,,412460,Sim,Sim,Sim,Sim,412460,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-23.3088474513599,PR,open,Não,Integrado ao sistema estadual de ensino,São Carlos do Ivaí - PR,Sim,Sim,Sim
São Jerônimo da Serra,Não,11306,municipio,-50.7384804270196,,412470,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412470,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-23.723403403633,PR,open,Sim,Integrado ao sistema estadual de ensino,São Jerônimo da Serra - PR,Não,Sim,Sim
São João,Sim,10553,municipio,-52.7294732188134,,412480,Sim,Sim,Não,Sim,412480,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-25.8246629361444,PR,open,Não,Integrado ao sistema estadual de ensino,São João - PR,Não,Não,Não
São João do Caiuá,Sim,5898,municipio,-52.3397510425866,,412490,Sim,Sim,Não,Sim,412490,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,-22.8544043257963,PR,open,Sim,Integrado ao sistema estadual de ensino,São João do Caiuá - PR,Não,Sim,Sim
São João do Ivaí,Não,11397,municipio,-51.8202792051938,,412500,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412500,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-23.9930894814884,PR,open,Não,Integrado ao sistema estadual de ensino,São João do Ivaí - PR,Não,Sim,Sim
São João do Triunfo,Não,13803,municipio,-50.3080640619123,,412510,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412510,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-25.6918750639247,PR,open,Não,Integrado ao sistema estadual de ensino,São João do Triunfo - PR,Não,Não,Não
São Jorge d'Oeste,Não,9068,municipio,-52.9201031661411,,412520,Sim,Sim,Sim,Sim,412520,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-25.714948099592,PR,open,Sim,Integrado ao sistema estadual de ensino,São Jorge d'Oeste - PR,Não,Sim,Sim
São Jorge do Ivaí,Não,5512,municipio,-52.2943419624336,,412530,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412530,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Sim,-23.4354578614104,PR,open,Sim,Integrado ao sistema estadual de ensino,São Jorge do Ivaí - PR,Não,Sim,Sim
São Jorge do Patrocínio,Não,5998,municipio,-53.8833305620973,,412535,Sim,Sim,Sim,Sim,412535,Sim,Sim,publish,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,-23.7582479652566,PR,open,Não,Integrado ao sistema estadual de ensino,São Jorge do Patrocínio - PR,Sim,Não,Não
São José da Boa Vista,Não,6476,municipio,-49.6511522910825,,412540,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412540,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-23.915465975535,PR,open,Não,Integrado ao sistema estadual de ensino,São José da Boa Vista - PR,Não,Sim,Sim
São José das Palmeiras,Não,3810,municipio,-54.0599182790456,,412545,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412545,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Não,Não,Sim,-24.8340818673691,PR,open,Sim,Integrado ao sistema estadual de ensino,São José das Palmeiras - PR,Não,Não,Sim
São José dos Pinhais,Não,268808,municipio,-49.2000824656673,,412550,Sim,Sim,Sim,Sim,412550,Sim,Sim,publish,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,-25.537702,PR,open,Sim,Próprio,São José dos Pinhais - PR,Não,Sim,Não
São Manoel do Paraná,Não,2100,municipio,-52.6470195624171,,412555,Sim,Sim,Sim,Sim,412555,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-23.3961302642141,PR,open,Não,Integrado ao sistema estadual de ensino,São Manoel do Paraná - PR,Não,Não,Não
São Mateus do Sul,Não,41617,municipio,-50.3906242547046,,412560,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412560,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-25.869599505,PR,open,Sim,Integrado ao sistema estadual de ensino,São Mateus do Sul - PR,Não,Não,Não
São Miguel do Iguaçu,Não,25872,municipio,-54.242120554007,,412570,Sim,Sim,Sim,Sim,412570,Sim,Sim,publish,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,-25.3488942672582,PR,open,Não,Integrado ao sistema estadual de ensino,São Miguel do Iguaçu - PR,Não,Sim,Sim
São Pedro do Iguaçu,Não,6431,municipio,-53.8598616786826,,412575,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412575,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Não,Sim,-24.9309309248552,PR,open,Não,Integrado ao sistema estadual de ensino,São Pedro do Iguaçu - PR,Sim,Não,Não
São Pedro do Ivaí,Não,10221,municipio,-51.8569627582888,,412580,Sim,Sim,Não,Sim,412580,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,-23.8678134422696,PR,open,Sim,Integrado ao sistema estadual de ensino,São Pedro do Ivaí - PR,Sim,Sim,Sim
São Pedro do Paraná,Não,2473,municipio,-53.2229371404628,,412590,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412590,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Não,-22.8251294492252,PR,open,Não,Integrado ao sistema estadual de ensino,São Pedro do Paraná - PR,Não,Sim,Sim
São Sebastião da Amoreira,Não,8632,municipio,-50.7624009771172,,412600,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412600,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-23.4606458610134,PR,open,Não,Integrado ao sistema estadual de ensino,São Sebastião da Amoreira - PR,Não,Não,Sim
São Tomé,Sim,5373,municipio,-52.5924836675634,,412610,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412610,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-23.5355113617935,PR,open,Não,Integrado ao sistema estadual de ensino,São Tomé - PR,Não,Não,Não
Sapopema,Não,6726,municipio,-50.579646631054,,412620,Sim,Sim,Sim,Sim,412620,Sim,Sim,publish,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-23.9072874610035,PR,open,Sim,Integrado ao sistema estadual de ensino,Sapopema - PR,Não,Sim,Sim
Sarandi,Não,83724,municipio,-51.8736820362471,,412625,Sim,Sim,Não,Sim,412625,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-23.44317201,PR,open,Sim,Próprio,Sarandi - PR,Não,Sim,Sim
Saudade do Iguaçu,Não,5061,municipio,-52.6143393739758,,412627,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412627,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-25.6936611646413,PR,open,Sim,Integrado ao sistema estadual de ensino,Saudade do Iguaçu - PR,Sim,Não,Não
Sengés,Não,18463,municipio,-49.4730192945961,,412630,Sim,Sim,Não,Sim,412630,Sim,Sim,publish,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,-24.1168102194297,PR,open,Não,Integrado ao sistema estadual de ensino,Sengés - PR,Não,Sim,Sim
Serranópolis do Iguaçu,Não,4555,municipio,-54.0583765839748,,412635,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412635,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-25.3798841827825,PR,open,Sim,Integrado ao sistema estadual de ensino,Serranópolis do Iguaçu - PR,Não,Sim,Sim
Sertaneja,Sim,5763,municipio,-50.8171022996451,,412640,Sim,Sim,Sim,Sim,412640,Sim,Sim,publish,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,-23.0369370349393,PR,open,Sim,Integrado ao sistema estadual de ensino,Sertaneja - PR,Não,Sim,Sim
Sertanópolis,Não,15676,municipio,-51.0422435334555,,412650,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412650,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Sim,Não,-23.058481975559,PR,open,Sim,Integrado ao sistema estadual de ensino,Sertanópolis - PR,Não,Sim,Sim
Siqueira Campos,Não,18643,municipio,-49.8314969707685,,412660,Sim,Sim,Sim,Sim,412660,Sim,Sim,publish,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,-23.6877083827751,PR,open,Sim,Integrado ao sistema estadual de ensino,Siqueira Campos - PR,Não,Sim,Sim
Sulina,Não,3354,municipio,-52.7165965203627,,412665,Não,Sim,Não,Sim,412665,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-25.6996322445225,PR,open,Sim,Integrado ao sistema estadual de ensino,Sulina - PR,Não,Sim,Sim
Tamarana,Não,12458,municipio,-51.0985602004511,,412667,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412667,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Não,Sim,Sim,Sim,-23.7151771915553,PR,open,Sim,Integrado ao sistema estadual de ensino,Tamarana - PR,Sim,Sim,Sim
Tamboara,Não,4696,municipio,-52.5006292917574,,412670,Sim,Sim,Sim,Sim,412670,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-23.2018206530944,PR,open,Não,Integrado ao sistema estadual de ensino,Tamboara - PR,Não,Não,Não
Tapejara,Não,14712,municipio,-52.8641131839901,,412680,Não,Sim,Sim,Não,412680,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-23.7324791909303,PR,open,Não,Integrado ao sistema estadual de ensino,Tapejara - PR,Não,Não,Não
Tapira,Não,5802,municipio,-53.0753253067345,,412690,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412690,Não aplicável,Não,publish,Não aplicável,Não aplicável,Não,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-23.3171088650566,PR,open,Sim,Integrado ao sistema estadual de ensino,Tapira - PR,Não,Sim,Sim
Teixeira Soares,Não,10444,municipio,-50.4656469824186,,412700,Sim,Sim,Sim,Sim,412700,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,-25.3800492077089,PR,open,Não,Integrado ao sistema estadual de ensino,Teixeira Soares - PR,Não,Não,Não
Telêmaco Borba,Não,70535,municipio,-50.6231227231312,,412710,Sim,Sim,Não,Sim,412710,Sim,Sim,publish,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,-24.32868597,PR,open,Sim,Integrado ao sistema estadual de ensino,Telêmaco Borba - PR,Não,Sim,Sim
Terra Boa,Sim,15864,municipio,-52.4621421588906,,412720,Não aplicável,Não aplicável,Não aplicável,Não aplicável,412720,Não aplicável,Não,publish,Não aplicável,Não aplicável,Sim,Não aplicável,Não aplicável,Não aplicável,Sim,Sim,Sim,Não,Sim,-23.7668332665984,PR,open,Sim,Integrado ao sistema estadual de ensino,Terra Boa - PR,Não,Sim,Sim
Terra Rica,Não,15331,municipio,-52.6246705735779,,412730,Sim,Sim,Não,Sim,412730,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,-22.7243649693344,PR,open,Sim,Integrado ao sistema estadual de ensino,Terra Rica - PR,Não,Sim,Não
Terra Roxa,Não,16795,municipio,-54.0985136359671,,412740,Sim,Sim,Sim,Sim,412740,Sim,Sim,publish,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,-24.16748352606,PR,open,Sim,Integrado ao sistema estadual de ensino,Terra Roxa - PR,Sim,Não,Sim
Tibagi,Sim,19414,municipio,-50.4114701228325,,412750,Sim,Sim,Não,Sim,412750,Sim,Sim,publish,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,-24.5132880678495,PR,open,Não,Integrado ao sistema estadual de ensino,Tibagi - PR,Não,Não,Não
